iter	Passed	Remaining
239	791	1847
240	801	1858
241	804	1855
242	807	1851
243	810	1847
244	814	1844
245	816	1839
246	825	1847
247	831	1849
248	834	1845
249	837	1842
250	841	1839
251	845	1838
252	848	1835
253	855	1839
254	859	1837
255	863	1834
256	865	1829
257	869	1826
258	873	1824
259	882	1832
260	884	1827
261	887	1822
262	906	1850
263	909	1847
264	928	1874
265	931	1870
266	935	1868
267	941	1868
268	944	1864
269	948	1861
270	952	1858
271	962	1868
272	968	1869
273	971	1865
274	980	1872
275	983	1866
276	1001	1891
277	1021	1917
278	1025	1914
279	1027	1909
280	1031	1905
281	1042	1915
282	1046	1912
283	1050	1908
284	1053	1903
285	1058	1902
286	1063	1900
287	1084	1927
288	1089	1926
289	1093	1922
290	1099	1924
291	1103	1920
292	1109	1920
293	1127	1939
294	1129	1933
295	1134	1930
296	1137	1926
297	1139	1919
298	1142	1914
299	1161	1935
300	1164	1929
301	1166	1924
302	1172	1923
303	1180	1925
304	1183	1921
305	1186	1915
306	1194	1918
307	1201	1918
308	1203	1913
309	1206	1907
310	1212	1905
311	1218	1905
312	1221	1901
313	1224	1895
314	1227	1889
315	1229	1883
316	1235	1882
317	1245	1888
318	1249	1883
319	1251	1877
320	1255	1873
321	1260	1870
322	1263	1865
323	1267	1861
324	1270	1856
325	1273	1851
326	1275	1844
327	1289	1856
328	1292	1850
329	1296	1847
330	1299	1841
331	1301	1834
332	1305	1831
333	1312	1831
334	1315	1825
335	1318	1820
336	1321	1815
337	1330	1818
338	1334	1814
339	1337	1809
340	1340	1804
341	1346	1803
342	1350	1798
343	1352	1792
344	1354	1786
345	1358	1782
346	1362	1779
347	1366	1774
348	1369	1769
349	1372	1764
350	1377	1762
351	1382	1760
352	1385	1754
353	1387	1748
354	1391	1744
355	1396	1742
356	1402	1740
357	1406	1736
358	1410	1732
359	1413	1727
360	1423	1730
361	1425	1724
362	1441	1734
363	1443	1729
364	1447	1725
365	1452	1722
366	1458	1720
367	1462	1716
368	1465	1711
369	1468	1706
370	1482	1714
371	1485	1708
372	1491	1707
373	1495	1703
374	1499	1699
375	1502	1694
376	1507	1691
377	1511	1687
378	1515	1683
379	1518	1678
380	1523	1674
381	1528	1672
382	1532	1668
383	1535	1663
384	1548	1668
385	1550	1663
386	1554	1658
387	1556	1653
388	1559	1647
389	1564	1645
390	1567	1640
391	1570	1634
392	1573	1629
393	1575	1623
394	1580	1620
395	1583	1615
396	1598	1622
397	1602	1618
398	1606	1614
399	1609	1609
400	1612	1604
401	1615	1599
402	1620	1596
403	1625	1593
404	1628	1587
405	1630	1582
406	1634	1578
407	1647	1583
408	1651	1578
409	1656	1575
410	1661	1572
411	1664	1567
412	1677	1571
413	1681	1567
414	1683	1562
415	1689	1559
416	1698	1560
417	1701	1554
418	1705	1551
419	1708	1545
420	1713	1542
421	1719	1540
422	1722	1534
423	1725	1530
424	1728	1525
425	1761	1546
426	1769	1545
427	1788	1554
428	1792	1549
429	1795	1544
430	1797	1538
431	1800	1533
432	1803	1528
433	1806	1523
434	1809	1518
435	1812	1512
436	1816	1508
437	1819	1504
438	1823	1499
439	1828	1495
440	1837	1495
441	1840	1490
442	1844	1486
443	1847	1480
444	1850	1476
445	1854	1471
446	1857	1466
447	1860	1461
448	1863	1456
449	1866	1451
450	1868	1446
451	1871	1440
452	1879	1439
453	1883	1435
454	1886	1430
455	1889	1425
456	1892	1420
457	1895	1415
458	1898	1410
459	1901	1405
460	1922	1413
461	1925	1408
462	1929	1404
463	1931	1398
464	1934	1393
465	1937	1388
466	1940	1383
467	1943	1378
468	1946	1373
469	1949	1369
470	1952	1363
471	1954	1358
472	1958	1353
473	1961	1348
474	1964	1344
475	1967	1339
476	1970	1334
477	1973	1329
478	1978	1325
479	1981	1320
480	1983	1315
481	1986	1310
482	1990	1306
483	1993	1301
484	1995	1296
485	1998	1291
486	2001	1286
487	2006	1282
488	2008	1277
489	2013	1274
490	2021	1271
491	2023	1266
492	2026	1262
493	2029	1257
494	2032	1252
495	2035	1247
496	2039	1243
497	2042	1238
498	2045	1234
499	2048	1229
500	2054	1225
501	2057	1221
502	2060	1216
503	2062	1211
504	2065	1206
505	2068	1201
506	2071	1197
507	2075	1192
508	2078	1188
509	2081	1183
510	2088	1180
511	2090	1176
512	2094	1171
513	2096	1166
514	2099	1161
515	2101	1156
516	2105	1152
517	2109	1148
518	2112	1143
519	2116	1139
520	2119	1135
521	2123	1130
522	2125	1126
523	2129	1121
524	2132	1117
525	2135	1112
526	2138	1107
527	2141	1103
528	2145	1099
529	2150	1095
530	2152	1090
531	2155	1085
532	2157	1081
533	2160	1076
534	2162	1071
535	2165	1066
536	2170	1062
537	2174	1059
538	2179	1055
539	2181	1050
540	2184	1045
541	2187	1041
542	2190	1036
543	2195	1033
544	2200	1029
545	2203	1025
546	2206	1020
547	2208	1015
548	2210	1010
549	2213	1006
550	2220	1003
551	2224	999
552	2229	995
553	2231	991
554	2234	986
555	2236	981
556	2239	977
557	2243	973
558	2248	969
559	2256	967
560	2259	962
561	2262	957
562	2264	953
563	2266	948
564	2270	944
565	2274	940
566	2278	936
567	2285	933
568	2288	929
569	2290	924
570	2292	919
571	2295	914
572	2298	910
573	2304	907
574	2311	904
575	2314	900
576	2317	895
577	2319	890
578	2323	886
579	2327	882
580	2329	878
581	2331	873
582	2342	871
583	2348	868
584	2352	864
585	2354	860
586	2357	855
587	2360	851
588	2362	846
589	2365	842
590	2368	837
591	2370	833
592	2373	828
593	2377	824
594	2383	821
595	2386	817
596	2390	812
597	2393	808
598	2395	803
599	2399	799
600	2402	795
601	2406	791
602	2408	786
603	2410	782
604	2414	778
605	2419	774
606	2423	770
607	2426	766
608	2428	761
609	2430	757
610	2433	752
611	2435	748
612	2439	744
613	2441	739
614	2444	735
615	2447	731
616	2452	727
617	2456	723
618	2459	719
619	2461	714
620	2463	709
621	2465	705
622	2467	700
623	2469	696
624	2471	692
625	2474	687
626	2476	683
627	2481	679
628	2489	676
629	2492	672
630	2495	668
631	2498	664
632	2500	659
633	2503	655
634	2507	651
635	2509	647
636	2512	642
637	2516	639
638	2523	635
639	2526	631
640	2529	627
641	2532	623
642	2534	618
643	2537	614
644	2540	610
645	2547	607
646	2554	604
647	2556	599
648	2559	595
649	2562	591
650	2565	587
651	2570	583
652	2573	579
653	2579	575
654	2581	571
655	2584	567
656	2586	562
657	2589	558
658	2592	554
659	2598	551
660	2602	547
661	2606	543
662	2609	539
663	2612	535
664	2614	530
665	2616	526
666	2619	522
667	2625	518
668	2629	514
669	2635	511
670	2638	507
671	2640	502
672	2642	498
673	2644	494
674	2646	490
675	2649	485
676	2652	481
677	2659	478
678	2665	474
679	2667	470
680	2670	466
681	2672	462
682	2675	458
683	2679	454
684	2685	450
685	2693	447
686	2695	443
687	2698	439
688	2701	435
689	2704	431
690	2710	427
691	2714	423
692	2719	419
693	2722	415
694	2725	411
695	2728	407
696	2730	403
697	2733	399
698	2737	395
699	2740	391
700	2743	387
701	2745	383
702	2749	379
703	2752	375
704	2755	371
705	2758	367
706	2766	363
707	2769	359
708	2775	356
709	2778	352
710	2781	348
711	2783	344
712	2785	339
713	2789	335
714	2792	331
715	2794	327
716	2797	323
717	2799	319
718	2803	315
719	2805	311
720	2809	307
721	2811	303
722	2814	299
723	2816	295
724	2818	291
725	2823	287
726	2826	283
727	2829	279
728	2832	275
729	2835	271
730	2837	267
731	2839	263
732	2842	259
733	2845	255
734	2849	251
735	2851	247
736	2864	244
737	2868	241
738	2872	237
739	2875	233
740	2877	229
741	2880	225
742	2882	221
743	2885	217
744	2890	213
745	2894	209
746	2897	205
747	2899	201
748	2903	197
749	2905	193
750	2908	189
751	2910	185
752	2915	181
753	2917	178
754	2920	174
755	2922	170
756	2926	166
757	2928	162
758	2930	158
759	2933	154
760	2936	150
761	2939	146
762	2942	142
763	2948	138
764	2951	135
765	2953	131
766	2955	127
767	2958	123
768	2961	119
769	2963	115
770	2965	111
771	2968	107
772	2971	103
773	2977	100
774	2981	96
775	2983	92
776	2986	88
777	2989	84
778	2992	80
779	2995	76
780	2998	72
781	3000	69
782	3003	65
783	3009	61
784	3013	57
785	3015	53
786	3017	49
787	3020	45
788	3023	42
789	3041	38
790	3043	34
791	3047	30
792	3050	26
793	3053	23
794	3057	19
795	3064	15
796	3067	11
797	3069	7
798	3072	3
799	3074	0
