iter	R2	RMSE
151	0.9524618526	83774.17816
152	0.9526617163	83597.8876
153	0.953038063	83264.9164
154	0.9532369344	83088.42687
155	0.953412338	82932.4523
156	0.9535738129	82788.60377
157	0.9541166154	82303.20975
158	0.9542966298	82141.60093
159	0.9546122275	81857.50139
160	0.9551120399	81405.54431
161	0.955692286	80877.68683
162	0.9563851095	80242.86803
163	0.9565570499	80084.54343
164	0.9567070542	79946.16185
165	0.9571339925	79550.98605
166	0.9574906172	79219.38187
167	0.9576551377	79065.93515
168	0.9581727116	78581.24494
169	0.9584989462	78274.19537
170	0.9589630797	77835.26881
171	0.959118647	77687.59553
172	0.9592767809	77537.19754
173	0.9595185236	77306.71534
174	0.9598797953	76960.98536
175	0.9600288032	76817.93452
176	0.9604970506	76366.6625
177	0.9613201857	75566.83615
178	0.9619102185	74988.26239
179	0.9621372434	74764.45371
180	0.9622700024	74633.26445
181	0.9624074387	74497.20993
182	0.9625397316	74366.01192
183	0.9626616503	74244.89696
184	0.9628001812	74107.03914
185	0.963038671	73869.10532
186	0.9631631489	73744.61266
187	0.9634575428	73449.34424
188	0.9637446731	73160.21312
189	0.9639224817	72980.59119
190	0.9643158257	72581.65649
191	0.9647384693	72150.54732
192	0.9649909994	71891.72529
193	0.9651068165	71772.71032
194	0.9652297492	71646.16697
195	0.9655305703	71335.56383
196	0.9661252707	70717.51089
197	0.9662406671	70596.95635
198	0.9663539248	70478.43548
199	0.9669498985	69851.45358
200	0.9670704515	69723.94277
201	0.9675134683	69253.33992
202	0.9676273456	69131.8541
203	0.96797624	68758.31263
204	0.9680783445	68648.61077
205	0.9683084938	68400.6911
206	0.9692813697	67342.61447
207	0.9693835872	67230.47849
208	0.9694921113	67111.21878
209	0.969664553	66921.28151
210	0.9698927626	66669.08624
211	0.9699967737	66553.8262
212	0.9702794144	66239.60452
213	0.9704304045	66071.13103
214	0.9705670791	65918.25938
215	0.9708159411	65638.9909
216	0.9709141125	65528.49737
217	0.9710021313	65429.27216
218	0.9711454868	65267.34178
219	0.9713271013	65061.61649
220	0.9715210001	64841.25568
221	0.9716105161	64739.26998
222	0.9716954177	64642.39286
223	0.9722040829	64058.9113
224	0.9722991437	63949.27819
225	0.9725001828	63716.79946
226	0.9725832919	63620.44519
227	0.97283006	63333.48544
228	0.9731346738	62977.45533
229	0.9733414331	62734.64564
230	0.9736955463	62316.59174
231	0.973781978	62214.12698
232	0.9744820449	61377.89411
233	0.9745708572	61270.99177
234	0.974646638	61179.62746
235	0.9747834356	61014.35268
236	0.9748642379	60916.51904
237	0.9749441804	60819.57149
238	0.9750816419	60652.50763
239	0.9752057062	60501.32984
240	0.9752828276	60407.16341
241	0.9755555512	60072.97965
242	0.9756299692	59981.46775
243	0.9757357487	59851.14966
244	0.9758459332	59715.10241
245	0.9759187921	59624.97134
246	0.9761841953	59295.49231
247	0.9763963673	59030.77339
248	0.9764685085	58940.49478
249	0.9766315359	58735.96844
250	0.9767021044	58647.21543
251	0.976770112	58561.55602
252	0.9768371509	58476.99382
253	0.9770170503	58249.46393
254	0.9770809253	58168.46312
255	0.9771496949	58081.12918
256	0.9773221873	57861.49244
257	0.9775421341	57580.21623
258	0.9776376485	57457.6401
259	0.9777008579	57376.37776
260	0.9779343783	57075.15942
261	0.9779932207	56999.00754
262	0.9780879157	56876.24218
263	0.978149516	56796.23922
264	0.978327375	56564.61132
265	0.9784025944	56466.36637
266	0.9786353203	56161.31172
267	0.9786957534	56081.82523
268	0.9787546708	56004.22373
269	0.9788122111	55928.33213
270	0.9788684738	55854.0259
271	0.9789682005	55722.07318
272	0.9790430555	55622.82359
273	0.9790981571	55549.65151
274	0.9791781992	55443.18779
275	0.9793122423	55264.43832
276	0.9794377326	55096.56847
277	0.9794910733	55025.0589
278	0.9795381702	54961.84247
279	0.9795903668	54891.69596
280	0.9796421181	54822.05929
281	0.9800647904	54249.96382
282	0.9801136756	54183.40696
283	0.9801668686	54110.8921
284	0.9802245904	54032.09331
285	0.9802914078	53940.73388
286	0.9804981123	53657.12207
287	0.980667569	53423.49347
288	0.9810543632	52886.35704
289	0.9811218547	52792.07247
290	0.9811685564	52726.73216
291	0.9813185067	52516.38742
292	0.9814937704	52269.46105
293	0.9815561238	52181.33051
294	0.9818939301	51701.26218
295	0.9820421087	51489.26807
296	0.9820895551	51421.20348
297	0.9821504074	51333.77503
298	0.98221569	51239.81577
299	0.9822615853	51173.65666
300	0.9823815536	51000.31446
301	0.9824280756	50932.93606
302	0.982584299	50706.02065
303	0.9827421816	50475.65896
304	0.9827962364	50396.54724
305	0.9828368051	50337.0913
306	0.9828804628	50273.02985
307	0.9829179051	50218.02337
308	0.9829987804	50099.00358
309	0.9830386397	50040.24068
310	0.9830824297	49975.60314
311	0.9831232091	49915.33434
312	0.9831612492	49859.04824
313	0.9834158191	49480.72594
314	0.9837490397	48981.10337
315	0.983791542	48917.00959
316	0.983837247	48847.99225
317	0.9838915325	48765.8909
318	0.9839289544	48709.21343
319	0.9839670777	48651.40568
320	0.9840692751	48496.10051
321	0.9841069483	48438.72437
322	0.9842307544	48249.68789
323	0.9845744927	47720.91659
324	0.9848942766	47223.67844
325	0.9849321996	47164.3636
326	0.9850422693	46991.78087
327	0.9850784951	46934.84226
328	0.9851136527	46879.51644
329	0.9852565634	46653.94925
330	0.9853102356	46568.95207
331	0.985453649	46341.07256
332	0.9854888973	46284.89223
333	0.9855856171	46130.38473
334	0.9856202181	46074.98462
335	0.9856530376	46022.37521
336	0.9857564467	45856.21678
337	0.9857892029	45803.45813
338	0.985830641	45736.62902
339	0.9858634359	45683.66975
340	0.98589267	45636.40888
341	0.9859857844	45485.54955
342	0.986016421	45435.80419
343	0.9860480226	45384.43483
344	0.9860791825	45333.72639
345	0.9861695872	45186.28325
346	0.9862013078	45134.43525
347	0.9863025194	44968.60311
348	0.9863303428	44922.90799
349	0.9865536101	44554.5333
350	0.9865815747	44508.17903
351	0.9866089157	44462.81165
352	0.9867523747	44224.00477
353	0.9867809371	44176.30463
354	0.9868107713	44126.42551
355	0.9868541656	44053.7749
356	0.9869363078	43915.92344
